               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10472,            0.043092,            0.048516,           0.0010904,               0.111,          0.00076327,          0.00018432,             0.10185,             0.03245,            0.051933,             0.07016,           0.0033156,           0.0033156
                   1,            0.096762,            0.046511,            0.041888,             0.41289,            0.032491,           0.0081475,           0.0020113,            0.095812,            0.045666,            0.044827,            0.040094,           0.0065831,           0.0065831
                   2,            0.088565,            0.045777,            0.028699,             0.71039,             0.14675,               0.077,            0.020261,            0.078084,            0.033407,            0.022907,           0.0099619,           0.0097846,           0.0097846
                   3,              0.0795,             0.04483,            0.021625,              0.7979,             0.18679,             0.16708,            0.058033,            0.069993,            0.030731,            0.019002,            0.009703,            0.009703,            0.009703
                   4,            0.072469,            0.043545,            0.017516,             0.66423,             0.20538,             0.22273,            0.083083,            0.066298,            0.029262,            0.017578,            0.009703,            0.009703,            0.009703
                   5,            0.067135,            0.041453,            0.015895,             0.74298,             0.29161,               0.303,             0.12712,            0.058382,            0.027514,            0.013218,            0.009604,            0.009604,            0.009604
                   6,            0.063885,            0.041035,            0.013962,              0.7154,             0.29713,             0.30227,             0.11511,            0.057351,            0.028404,             0.01182,            0.009505,            0.009505,            0.009505
                   7,            0.060534,            0.039776,            0.011952,             0.74195,             0.32258,             0.34058,             0.14711,            0.054538,            0.026525,             0.01052,            0.009406,            0.009406,            0.009406
                   8,            0.058118,            0.039262,            0.011356,             0.41022,             0.39524,             0.36518,             0.15804,            0.052727,            0.025157,           0.0095848,            0.009307,            0.009307,            0.009307
                   9,            0.056975,            0.039034,            0.010377,             0.53104,             0.41392,             0.39381,             0.17254,            0.051055,            0.024503,           0.0086274,            0.009208,            0.009208,            0.009208
                  10,            0.055465,            0.037381,           0.0099516,             0.50202,             0.38791,             0.39369,             0.17303,            0.050205,            0.024405,           0.0078169,            0.009109,            0.009109,            0.009109
                  11,             0.05342,            0.036281,           0.0091955,             0.44079,             0.43942,             0.40971,             0.17848,            0.050927,            0.023871,           0.0079076,             0.00901,             0.00901,             0.00901
                  12,            0.053387,             0.03696,           0.0088942,             0.45572,              0.4689,             0.42116,             0.18891,            0.049163,            0.024843,           0.0078766,            0.008911,            0.008911,            0.008911
                  13,            0.052413,            0.036419,           0.0083982,             0.52827,             0.48922,             0.46742,             0.20807,            0.047496,            0.023508,           0.0070291,            0.008812,            0.008812,            0.008812
                  14,            0.051453,            0.036175,           0.0079577,             0.54935,             0.47694,             0.46063,             0.19901,            0.048458,            0.023467,           0.0071754,            0.008713,            0.008713,            0.008713
                  15,            0.050412,            0.036103,           0.0075824,              0.5869,             0.46602,             0.48003,             0.21404,            0.046996,            0.023197,           0.0065649,            0.008614,            0.008614,            0.008614
                  16,            0.049145,            0.034933,           0.0075838,             0.57694,             0.50021,             0.48507,             0.21156,            0.046924,            0.023413,           0.0065333,            0.008515,            0.008515,            0.008515
                  17,            0.049117,            0.034953,           0.0074851,             0.59475,             0.50048,             0.50593,             0.22218,            0.046675,            0.022852,           0.0064794,            0.008416,            0.008416,            0.008416
                  18,            0.048403,            0.034899,           0.0070325,              0.6118,             0.51228,             0.51251,             0.22975,            0.045567,            0.022591,           0.0062113,            0.008317,            0.008317,            0.008317
                  19,            0.047957,            0.034404,           0.0069173,             0.57026,             0.48862,             0.48112,             0.20833,            0.047499,            0.022966,           0.0064805,            0.008218,            0.008218,            0.008218
                  20,            0.046974,            0.034604,           0.0064224,             0.57621,             0.50905,             0.50906,             0.22459,            0.045794,            0.022328,           0.0061458,            0.008119,            0.008119,            0.008119
                  21,            0.047131,            0.034103,           0.0065044,             0.61089,             0.52599,             0.51347,             0.23348,            0.045191,            0.022505,           0.0062181,             0.00802,             0.00802,             0.00802
                  22,            0.046277,             0.03342,           0.0063938,             0.64087,              0.5421,             0.53912,              0.2419,            0.044767,            0.022208,           0.0054094,            0.007921,            0.007921,            0.007921
                  23,            0.046003,            0.033536,           0.0060532,             0.61736,             0.54759,             0.53917,             0.24413,            0.044331,            0.022316,           0.0055416,            0.007822,            0.007822,            0.007822
                  24,            0.045397,            0.033509,           0.0058909,             0.63949,             0.54287,             0.55154,             0.24778,             0.04411,            0.021941,           0.0054967,            0.007723,            0.007723,            0.007723
                  25,            0.045146,              0.0327,           0.0059543,             0.67305,              0.5551,             0.56335,             0.25101,             0.04375,            0.022008,            0.005403,            0.007624,            0.007624,            0.007624
                  26,            0.044484,            0.033097,           0.0055804,             0.63432,             0.57893,             0.57232,                0.26,            0.043728,              0.0219,           0.0054915,            0.007525,            0.007525,            0.007525
                  27,             0.04451,            0.032246,           0.0055608,             0.63862,             0.54155,             0.56541,              0.2573,            0.043308,            0.021744,           0.0053168,            0.007426,            0.007426,            0.007426
                  28,            0.043863,            0.032221,           0.0054778,             0.65108,             0.57444,             0.57884,             0.26512,            0.043022,            0.021988,           0.0052112,            0.007327,            0.007327,            0.007327
